image_name,full_path
8496672626b14375af504ed09389a1bd.jpg,./data/webfg400_train/train/000/8496672626b14375af504ed09389a1bd.jpg
52b821e184e447609b2c6d897f14ac8a.jpg,./data/webfg400_train/train/000/52b821e184e447609b2c6d897f14ac8a.jpg
e6833479a9494960b6d3ff67aa5f301c.jpg,./data/webfg400_train/train/000/e6833479a9494960b6d3ff67aa5f301c.jpg
1fdd9cda19c84c80bba900c147f299a5.jpg,./data/webfg400_train/train/000/1fdd9cda19c84c80bba900c147f299a5.jpg
2e5434171a5f4be99585bc0f0fab6e30.jpg,./data/webfg400_train/train/000/2e5434171a5f4be99585bc0f0fab6e30.jpg
3aca52dc06fb49718d37a0c5994e93dc.jpg,./data/webfg400_train/train/000/3aca52dc06fb49718d37a0c5994e93dc.jpg
f00d5b228675450c910f9d14ccba4b72.jpg,./data/webfg400_train/train/000/f00d5b228675450c910f9d14ccba4b72.jpg
f906f011acff4a039cdb23a05ef92c52.jpg,./data/webfg400_train/train/000/f906f011acff4a039cdb23a05ef92c52.jpg
6bbb966707ae4954bd68399c1b4c3e01.jpg,./data/webfg400_train/train/000/6bbb966707ae4954bd68399c1b4c3e01.jpg
3981de2d77ba4c8388ab376e16218140.jpg,./data/webfg400_train/train/000/3981de2d77ba4c8388ab376e16218140.jpg
1ddbbc71044b45feba397ee6eb69d0ba.jpg,./data/webfg400_train/train/000/1ddbbc71044b45feba397ee6eb69d0ba.jpg
7928c6218a364d0eab6b9b72767c4845.jpg,./data/webfg400_train/train/000/7928c6218a364d0eab6b9b72767c4845.jpg
643189f0aab2432f801083b537b3ad95.jpg,./data/webfg400_train/train/000/643189f0aab2432f801083b537b3ad95.jpg
b3f41ba6ce3d4a989b19cf399f3f4035.jpg,./data/webfg400_train/train/000/b3f41ba6ce3d4a989b19cf399f3f4035.jpg
63fcd372549443ecbc1d0a449be4d788.jpg,./data/webfg400_train/train/000/63fcd372549443ecbc1d0a449be4d788.jpg
a82c874ee0e64e26af758a6ade6e5cb8.jpg,./data/webfg400_train/train/000/a82c874ee0e64e26af758a6ade6e5cb8.jpg
12ceef6aa7274c228747ef0068802693.jpg,./data/webfg400_train/train/000/12ceef6aa7274c228747ef0068802693.jpg
3b9caff84eee4185832b3fa9e470e7a0.jpg,./data/webfg400_train/train/000/3b9caff84eee4185832b3fa9e470e7a0.jpg
ccc41e7f1502458c8a4496564428064a.jpg,./data/webfg400_train/train/000/ccc41e7f1502458c8a4496564428064a.jpg
12d772f1a6e14ae4a4876bc987c77b4f.jpg,./data/webfg400_train/train/000/12d772f1a6e14ae4a4876bc987c77b4f.jpg
6138c8959037430aafa8fcbaa1330dd1.jpg,./data/webfg400_train/train/000/6138c8959037430aafa8fcbaa1330dd1.jpg
1fa9b6307a8547209051373a0bc75701.jpg,./data/webfg400_train/train/000/1fa9b6307a8547209051373a0bc75701.jpg
8cbc78c2c0094615b32c2907ff7e9777.jpg,./data/webfg400_train/train/000/8cbc78c2c0094615b32c2907ff7e9777.jpg
4c24711bb2a54b0ca95221f96805cef4.jpg,./data/webfg400_train/train/000/4c24711bb2a54b0ca95221f96805cef4.jpg
